Datetime,Close,High,Low,Open,Volume
2026-07-06 09:00:00,2710.0,2730.0,2700.0,2710.0,0
2026-07-06 09:01:00,2710.0,2710.0,2700.0,2700.0,1245300
2026-07-06 09:02:00,2700.0,2710.0,2700.0,2710.0,2319300
2026-07-06 09:03:00,2720.0,2720.0,2700.0,2710.0,1278400
2026-07-06 09:04:00,2730.0,2730.0,2710.0,2720.0,3691800
2026-07-06 09:05:00,2740.0,2740.0,2720.0,2730.0,1471600
2026-07-06 09:06:00,2730.0,2740.0,2730.0,2730.0,924000
2026-07-06 09:07:00,2740.0,2740.0,2730.0,2730.0,529200
2026-07-06 09:08:00,2730.0,2740.0,2730.0,2730.0,366800
2026-07-06 09:09:00,2740.0,2740.0,2730.0,2740.0,330200
2026-07-06 09:10:00,2720.0,2740.0,2720.0,2730.0,3125500
2026-07-06 09:11:00,2720.0,2730.0,2710.0,2720.0,3763800
2026-07-06 09:12:00,2720.0,2730.0,2720.0,2720.0,536200
2026-07-06 09:13:00,2720.0,2730.0,2720.0,2720.0,186300
2026-07-06 09:14:00,2730.0,2730.0,2720.0,2730.0,281500
2026-07-06 09:15:00,2720.0,2730.0,2720.0,2730.0,182900
2026-07-06 09:16:00,2720.0,2730.0,2720.0,2720.0,245500
2026-07-06 09:17:00,2720.0,2730.0,2720.0,2720.0,180600
2026-07-06 09:18:00,2730.0,2730.0,2720.0,2720.0,237400
2026-07-06 09:19:00,2720.0,2730.0,2720.0,2730.0,473800
2026-07-06 09:20:00,2730.0,2730.0,2720.0,2720.0,299900
2026-07-06 09:21:00,2720.0,2730.0,2720.0,2720.0,320100
2026-07-06 09:22:00,2730.0,2730.0,2720.0,2720.0,239300
2026-07-06 09:23:00,2720.0,2730.0,2720.0,2730.0,139400
2026-07-06 09:24:00,2720.0,2730.0,2720.0,2730.0,346700
2026-07-06 09:25:00,2720.0,2730.0,2720.0,2720.0,162100
2026-07-06 09:26:00,2730.0,2730.0,2720.0,2720.0,206100
2026-07-06 09:27:00,2730.0,2730.0,2720.0,2720.0,304600
2026-07-06 09:28:00,2730.0,2730.0,2720.0,2720.0,495800
2026-07-06 09:29:00,2730.0,2730.0,2720.0,2730.0,789300
2026-07-06 09:30:00,2720.0,2730.0,2720.0,2720.0,202900
2026-07-06 09:31:00,2720.0,2730.0,2720.0,2720.0,295300
2026-07-06 09:32:00,2720.0,2730.0,2720.0,2730.0,193400
2026-07-06 09:33:00,2730.0,2730.0,2720.0,2730.0,441400
2026-07-06 09:34:00,2730.0,2730.0,2720.0,2720.0,284000
2026-07-06 09:35:00,2720.0,2730.0,2720.0,2720.0,235000
2026-07-06 09:36:00,2720.0,2730.0,2720.0,2720.0,2536400
2026-07-06 09:37:00,2710.0,2730.0,2710.0,2720.0,3244700
2026-07-06 09:38:00,2720.0,2720.0,2710.0,2710.0,127900
2026-07-06 09:39:00,2720.0,2720.0,2710.0,2710.0,143600
2026-07-06 09:40:00,2710.0,2720.0,2710.0,2710.0,137500
2026-07-06 09:41:00,2710.0,2720.0,2710.0,2710.0,172800
2026-07-06 09:42:00,2710.0,2720.0,2710.0,2710.0,158300
2026-07-06 09:43:00,2710.0,2720.0,2710.0,2710.0,142000
2026-07-06 09:44:00,2720.0,2720.0,2710.0,2710.0,216700
2026-07-06 09:45:00,2710.0,2720.0,2710.0,2720.0,170400
2026-07-06 09:46:00,2710.0,2720.0,2710.0,2710.0,150500
2026-07-06 09:47:00,2710.0,2720.0,2710.0,2710.0,516600
2026-07-06 09:48:00,2710.0,2720.0,2710.0,2720.0,252800
2026-07-06 09:49:00,2710.0,2720.0,2710.0,2710.0,167400
2026-07-06 09:50:00,2710.0,2720.0,2710.0,2710.0,951600
2026-07-06 09:51:00,2710.0,2720.0,2700.0,2710.0,6965300
2026-07-06 09:52:00,2700.0,2710.0,2700.0,2700.0,2005600
2026-07-06 09:53:00,2710.0,2710.0,2700.0,2710.0,980700
2026-07-06 09:54:00,2700.0,2710.0,2700.0,2700.0,301400
2026-07-06 09:55:00,2700.0,2710.0,2700.0,2700.0,5233700
2026-07-06 09:56:00,2700.0,2710.0,2690.0,2700.0,2579900
2026-07-06 09:57:00,2690.0,2710.0,2690.0,2700.0,474800
2026-07-06 09:58:00,2690.0,2700.0,2690.0,2690.0,220900
2026-07-06 09:59:00,2690.0,2700.0,2690.0,2690.0,909500
2026-07-06 10:00:00,2690.0,2700.0,2690.0,2700.0,97100
2026-07-06 10:01:00,2690.0,2700.0,2690.0,2690.0,321700
2026-07-06 10:02:00,2690.0,2700.0,2690.0,2690.0,174200
2026-07-06 10:03:00,2700.0,2710.0,2690.0,2690.0,3979900
2026-07-06 10:04:00,2710.0,2710.0,2700.0,2700.0,189600
2026-07-06 10:05:00,2700.0,2710.0,2700.0,2700.0,365500
2026-07-06 10:06:00,2700.0,2710.0,2700.0,2700.0,377200
2026-07-06 10:07:00,2710.0,2710.0,2700.0,2700.0,234100
2026-07-06 10:08:00,2700.0,2710.0,2700.0,2700.0,145500
2026-07-06 10:09:00,2700.0,2710.0,2700.0,2700.0,445300
2026-07-06 10:10:00,2700.0,2710.0,2700.0,2700.0,188900
2026-07-06 10:11:00,2710.0,2710.0,2700.0,2710.0,122800
2026-07-06 10:12:00,2700.0,2710.0,2700.0,2700.0,121500
2026-07-06 10:13:00,2700.0,2710.0,2700.0,2700.0,166300
2026-07-06 10:14:00,2710.0,2710.0,2700.0,2700.0,141500
2026-07-06 10:15:00,2710.0,2710.0,2700.0,2700.0,128300
2026-07-06 10:16:00,2700.0,2710.0,2700.0,2710.0,102200
2026-07-06 10:17:00,2700.0,2710.0,2700.0,2700.0,315000
2026-07-06 10:18:00,2710.0,2710.0,2700.0,2700.0,158900
2026-07-06 10:19:00,2700.0,2710.0,2700.0,2700.0,97900
2026-07-06 10:20:00,2700.0,2710.0,2700.0,2700.0,106900
2026-07-06 10:21:00,2700.0,2710.0,2700.0,2700.0,316200
2026-07-06 10:22:00,2700.0,2710.0,2700.0,2700.0,114700
2026-07-06 10:23:00,2700.0,2710.0,2700.0,2700.0,248100
2026-07-06 10:24:00,2710.0,2710.0,2700.0,2700.0,187700
2026-07-06 10:25:00,2700.0,2710.0,2700.0,2700.0,193300
2026-07-06 10:26:00,2700.0,2710.0,2700.0,2700.0,154400
2026-07-06 10:27:00,2700.0,2710.0,2700.0,2700.0,200200
2026-07-06 10:28:00,2700.0,2710.0,2700.0,2700.0,131100
2026-07-06 10:29:00,2700.0,2710.0,2700.0,2700.0,105200
2026-07-06 10:30:00,2700.0,2710.0,2700.0,2710.0,352400
2026-07-06 10:31:00,2700.0,2710.0,2700.0,2700.0,209100
2026-07-06 10:32:00,2700.0,2710.0,2700.0,2700.0,146700
2026-07-06 10:33:00,2710.0,2710.0,2700.0,2700.0,198200
2026-07-06 10:34:00,2700.0,2710.0,2700.0,2700.0,88200
2026-07-06 10:35:00,2700.0,2710.0,2700.0,2700.0,249200
2026-07-06 10:36:00,2700.0,2710.0,2700.0,2700.0,127400
2026-07-06 10:37:00,2700.0,2710.0,2700.0,2700.0,130700
2026-07-06 10:38:00,2690.0,2710.0,2690.0,2700.0,5962600
2026-07-06 10:39:00,2690.0,2700.0,2690.0,2700.0,648300
2026-07-06 10:40:00,2690.0,2700.0,2690.0,2690.0,229500
2026-07-06 10:41:00,2690.0,2700.0,2690.0,2690.0,78300
2026-07-06 10:42:00,2690.0,2700.0,2690.0,2690.0,119500
2026-07-06 10:43:00,2690.0,2700.0,2690.0,2690.0,211400
2026-07-06 10:44:00,2690.0,2700.0,2690.0,2690.0,79400
2026-07-06 10:45:00,2690.0,2700.0,2690.0,2690.0,163900
2026-07-06 10:46:00,2690.0,2700.0,2690.0,2690.0,331000
2026-07-06 10:47:00,2690.0,2700.0,2690.0,2690.0,120400
2026-07-06 10:48:00,2700.0,2700.0,2690.0,2690.0,158600
2026-07-06 10:49:00,2690.0,2700.0,2690.0,2690.0,295200
2026-07-06 10:50:00,2690.0,2700.0,2690.0,2690.0,786100
2026-07-06 10:51:00,2700.0,2700.0,2690.0,2690.0,736200
2026-07-06 10:52:00,2690.0,2700.0,2690.0,2690.0,722200
2026-07-06 10:53:00,2690.0,2700.0,2690.0,2690.0,316500
2026-07-06 10:54:00,2700.0,2700.0,2690.0,2690.0,198800
2026-07-06 10:55:00,2690.0,2700.0,2690.0,2700.0,354600
2026-07-06 10:56:00,2690.0,2700.0,2690.0,2690.0,137400
