Datetime,Close,High,Low,Open,Volume
2026-06-30 09:00:00,2820.0,2840.0,2810.0,2810.0,0
2026-06-30 09:01:00,2820.0,2830.0,2810.0,2820.0,455800
2026-06-30 09:02:00,2820.0,2830.0,2810.0,2820.0,1555800
2026-06-30 09:03:00,2820.0,2820.0,2810.0,2820.0,650700
2026-06-30 09:04:00,2810.0,2820.0,2810.0,2820.0,724600
2026-06-30 09:05:00,2810.0,2820.0,2810.0,2810.0,1605800
2026-06-30 09:06:00,2820.0,2820.0,2810.0,2810.0,1723600
2026-06-30 09:07:00,2820.0,2820.0,2810.0,2820.0,372100
2026-06-30 09:08:00,2810.0,2820.0,2810.0,2810.0,1500900
2026-06-30 09:09:00,2810.0,2820.0,2810.0,2820.0,452800
2026-06-30 09:10:00,2810.0,2820.0,2810.0,2820.0,239900
2026-06-30 09:11:00,2820.0,2820.0,2810.0,2810.0,727200
2026-06-30 09:12:00,2810.0,2820.0,2810.0,2810.0,755400
2026-06-30 09:13:00,2820.0,2820.0,2810.0,2810.0,1027100
2026-06-30 09:14:00,2810.0,2820.0,2800.0,2810.0,750500
2026-06-30 09:15:00,2810.0,2810.0,2800.0,2810.0,776600
2026-06-30 09:16:00,2800.0,2810.0,2800.0,2810.0,1710500
2026-06-30 09:17:00,2800.0,2810.0,2790.0,2810.0,7226500
2026-06-30 09:18:00,2790.0,2800.0,2790.0,2790.0,3707900
2026-06-30 09:19:00,2780.0,2790.0,2780.0,2790.0,4442700
2026-06-30 09:20:00,2780.0,2790.0,2780.0,2780.0,1509700
2026-06-30 09:21:00,2780.0,2790.0,2780.0,2780.0,1054200
2026-06-30 09:22:00,2770.0,2790.0,2770.0,2780.0,1281700
2026-06-30 09:23:00,2770.0,2780.0,2760.0,2770.0,2715600
2026-06-30 09:24:00,2770.0,2770.0,2760.0,2760.0,1467200
2026-06-30 09:25:00,2770.0,2770.0,2760.0,2770.0,447300
2026-06-30 09:26:00,2760.0,2770.0,2760.0,2760.0,692900
2026-06-30 09:27:00,2770.0,2770.0,2760.0,2770.0,4518700
2026-06-30 09:28:00,2760.0,2770.0,2760.0,2770.0,1372800
